ID        alpha     delta          x         y         v         ev        bv        ebv       ub        eub       vi        evi
1         250.155616-43.312008   554.611   566.587    10.696     0.002     1.961     0.002     2.367     0.004     2.362     0.004
2         250.223742-43.418372   106.326  1520.010    10.914     0.002     0.425     0.002     0.043     0.002     0.745     0.035
3         250.099321-43.386694   925.046  1236.050    10.932     0.003     0.691     0.003     0.356     0.002     1.016     0.006
4         250.148448-43.333184   601.777   756.404    11.126     0.004     0.649     0.004     0.368     0.002     0.947     0.006
5         250.107667-43.359575   870.127   992.967    11.206     0.004     1.563     0.004     1.367     0.003     1.766     0.007
6         250.047495-43.399898  1266.070  1354.410    11.222     0.007     1.710     0.006     1.651     0.005     1.907     0.007
7         250.101730-43.413561   909.193  1476.880    11.312     0.001     0.743     0.002     0.112     0.002     0.939     0.003
8         250.114774-43.363288   823.360  1026.250    11.314     0.001     0.491     0.002     0.054     0.002     0.748     0.002
9         250.146818-43.456492   612.501  1861.710    11.332     0.002     1.691     0.006     1.364     0.008     2.043     0.022
10        250.092784-43.374709   968.062  1128.620    11.391     0.002     0.478     0.002     0.029     0.002     0.724     0.002
11        250.068568-43.376884  1127.410  1148.120    11.400     0.003     1.534     0.003     1.305     0.004     1.747     0.005
12        250.168967-43.383598   466.754  1208.300    11.458     0.002     1.424     0.003     1.180     0.004     1.689     0.011
13        250.002891-43.441743  1559.580  1729.500    11.477     0.003     0.503     0.003    -0.363     0.001     0.836     0.003
14        250.188576-43.402792   337.727  1380.350    11.642     0.001     1.320     0.002     1.165     0.004     1.573     0.018
15        250.134433-43.379265   693.999  1169.460    11.734     0.002     0.462     0.002     0.028     0.002     0.723     0.003
16        250.101056-43.335427   913.628   776.510    11.753     0.004     1.491     0.004     1.180     0.005     1.720     0.007
17        250.084989-43.377791  1019.350  1156.250    11.773     0.002     0.547     0.002     0.143     0.002     0.830     0.003
18        250.092771-43.353202   968.147   935.836    11.869     0.001     0.500     0.002     0.064     0.002     0.737     0.002
19        250.079000-43.257758  1058.760    80.299    11.873     0.002     1.584     0.008     1.105     0.014     1.615     0.003
20        250.157745-43.389476   540.599  1260.990    12.028     0.002     0.441     0.002     0.005     0.002     0.708     0.003
21        250.018676-43.389647  1455.710  1262.520    12.207     0.002     1.702     0.002     1.868     0.007     1.944     0.004
22        250.147769-43.395562   606.245  1315.540    12.232     0.002     0.444     0.002    -0.003     0.002     0.704     0.003
23        249.996432-43.346803  1602.080   878.478    12.250     0.001     0.611     0.001     0.128     0.002     0.932     0.003
