ID alpha delta x y v ev bv ebv ub eub vi evi d_arcsec _r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000
1 253.880077 -45.332364 422.895 2590.08 7.968 0.041 0.976 0.096 -1.223 0.098 0.077 0.069 2.5668 0.148495 0.073406 -0.129083 150.4 "Gaia DR2 5964013062063202560" 253.88077066720 0.0645 -45.33291018012 0.0516 1635721458409799680 5964013062063202560 1622760652 2015.5 1.3430 0.0662 20.2739 -0.980 0.108 -6.969 0.085 -0.2464 -0.4157 -0.5588 0.1159 0.2236 0.0946 -0.7027 0.0006 -0.0572 -0.2866 190 190 189 1 10.2878 459.09 0.000 0 31 0 107.0520 1.7355 0.0110 -0.068 22 11 0.069861 0 26 0 207 9.394e+06 3767 2493.919 8.2562 0.0004 23 6.849e+06 3.168e+04 216.206 8.2623 0.0050 22 4.320e+06 1.962e+04 220.189 8.1731 0.0049 1.189 0 0.0893 0.0061 0.0831 "" "" 0 "" "" "" NOT_AVAILABLE 340.89185245039 -1.21359776168 257.79739739422 -22.57410464039 102001 9598.00 9534.67 9704.00 "" "" "" "" "" "" "" "" "" "" "" "" "" 253.88077667000 1.6719 -45.33288017530 1.3209
2 253.896028 -45.06943 330.267 409.864 10.21 0.01 0.53 0.01 -0.078 0.007 0.783 0.025 2.8954 0.158734 0.083832 0.134791 31.9 "Gaia DR2 5964111060363378304" 253.89505055781 0.0413 -45.06902279976 0.0350 1635721458409799680 5964111060363378304 1259848477 2015.5 0.5919 0.0437 13.5411 0.109 0.077 -1.088 0.062 0.0675 -0.2216 -0.5020 -0.0748 -0.2370 0.0335 -0.6880 -0.1276 0.2162 -0.2208 213 213 204 9 7.0080 373.09 0.000 0 31 0 308.9596 1.6009 0.0076 0.070 27 12 0.052159 0 30 1 248 1.735e+06 1293 1342.059 10.0900 0.0008 30 9.249e+05 2133 433.612 10.4361 0.0025 28 1.173e+06 2399 489.016 9.5885 0.0022 1.209 0 0.8477 0.3461 0.5016 "" "" 0 "" "" "" NOT_AVAILABLE 341.10371309985 -1.05589396289 257.77410560396 -22.31090443379 100001 5793.00 5772.33 5802.50 1.9425 1.4555 2.1741 0.9772 0.7646 1.1051 200111 13.88 13.83 13.98 195.392 174.831 215.952 253.89504989200 1.1888 -45.06901811340 0.9687
3 253.76684 -45.17112 1080.49 1253.07 11.001 0.018 0.319 0.019 0.214 0.011 0.538 0.019 1.3779 0.033034 -0.006760 0.032335 348.2 "Gaia DR2 5964026947709790208" 253.76676167807 0.0443 -45.17153946694 0.0359 1635721458409799680 5964026947709790208 1535500093 2015.5 1.2357 0.0473 26.1314 -5.058 0.075 -8.871 0.060 -0.0421 -0.3849 -0.4321 -0.0514 -0.1848 0.1105 -0.7322 -0.0968 0.3227 -0.2242 218 218 207 11 8.3936 420.95 0.000 0 31 0 390.8568 1.6675 0.0092 0.009 26 12 0.050165 0 30 0 240 8.41e+05 535.5 1570.539 10.8764 0.0007 23 5.042e+05 872.7 577.693 11.0950 0.0019 25 4.904e+05 516.8 948.864 10.5357 0.0011 1.182 0 0.5593 0.2186 0.3407 "" "" 0 "" "" "" NOT_AVAILABLE 340.96706260177 -1.04980539796 257.69020108227 -22.42352605043 100001 6734.00 6645.70 6869.69 "" "" "" "" "" "" 200111 3.39 3.26 3.48 21.312 20.175 22.450 253.76679256600 1.1610 -45.17150127390 0.9283
4 253.631341 -45.141717 1867.36 1009.26 11.013 0.013 0.512 0.014 0.132 0.007 0.735 0.013 2.0548 0.119702 -0.102039 0.062582 301.5 "Gaia DR2 5964030521115181568" 253.63168835776 2.3557 -45.14120148920 1.5023 1635721458409799680 5964030521115181568 897683468 2015.5 "" "" "" "" "" "" "" 0.5648 "" "" "" "" "" "" "" "" "" 45 0 45 0 4.5406 94.72 4.258 6.1 3 0 0.0297 "" "" 0.368 5 5 5.2009 0 7 0 55 229.6 9.313 24.649 19.7861 0.0440 0 "" "" "" "" "" 0 "" "" "" "" "" "" 1 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 340.93071548251 -0.95668026720 257.58395753668 -22.40491369781 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 253.63168835800 2.3557 -45.14120148920 1.5023
5 253.817538 -45.142987 786.073 1019.79 11.043 0.015 0.702 0.016 0.561 0.008 0.886 0.015 0.8926 0.067187 0.028802 0.060700 25.4 "Gaia DR2 5964120681090095744" 253.81718570947 0.0486 -45.14316712755 0.0391 1635721458409799680 5964120681090095744 865228611 2015.5 7.5465 0.0478 158.0024 -3.298 0.082 -22.993 0.064 -0.0188 -0.3261 -0.5455 -0.0379 -0.1311 0.0884 -0.7788 -0.1220 0.2684 -0.2115 201 201 196 5 3.2216 260.32 0.000 0 31 0 346.0120 1.6033 0.0095 0.056 23 12 0.055614 0 29 1 235 9.115e+05 549.9 1657.425 10.7890 0.0007 26 4.595e+05 760.6 604.198 11.1956 0.0018 28 6.354e+05 701 906.419 10.2543 0.0012 1.201 1 0.9413 0.4066 0.5347 -15.99 0.53 3 5500.0 4.5 0.0 NOT_AVAILABLE 341.01148269786 -1.05964520774 257.72469800781 -22.39108875295 100002 5438.00 5318.92 5621.00 0.0590 0.0170 0.2200 0.0367 0.0079 0.1090 200111 0.91 0.85 0.95 0.651 0.645 0.656 253.81720584100 1.2740 -45.14306812880 0.9892
6 253.626302 -45.046734 1896.62 221.678 11.061 0.017 0.221 0.018 0.179 0.009 0.235 0.017 0.8897 0.189211 -0.105944 0.156770 325.9 "Gaia DR2 5964125010417310976" 253.62640080837 0.0372 -45.04700637334 0.0327 1635721458409799680 5964125010417310976 28554742 2015.5 1.3226 0.0427 31.0052 -1.809 0.071 -8.764 0.054 -0.0750 -0.1819 -0.4449 -0.0168 -0.0910 0.0273 -0.7201 -0.1290 0.2435 -0.1586 248 248 237 11 13.5229 660.87 0.000 0 31 0 389.8441 1.6994 0.0080 0.072 29 12 0.047383 0 32 0 253 7.091e+05 317.7 2231.946 11.0616 0.0005 24 4.648e+05 698.6 665.297 11.1833 0.0016 25 3.667e+05 272.8 1344.316 10.8512 0.0008 1.173 1 0.3320 0.1217 0.2104 "" "" 0 "" "" "" NOT_AVAILABLE 341.00154096078 -0.89445716817 257.56760372285 -22.31186582653 100002 7916.78 7768.14 8182.00 0.7500 0.6022 0.8756 0.3720 0.2913 0.4461 200111 2.16 2.02 2.24 16.488 15.725 17.251 253.62641183300 1.0983 -45.04696864060 0.8434
7 253.85776 -45.371289 552.498 2912.84 11.131 0.028 0.761 0.05 0.346 0.046 1.312 0.034 3.4558 0.177832 0.057845 -0.168162 161.0 "Gaia DR2 5964011588906556416" 253.85869251848 0.0503 -45.37200693727 0.0427 1635721458409799680 5964011588906556416 1382551967 2015.5 0.6063 0.0513 11.8267 -0.270 0.085 -4.035 0.065 -0.1962 -0.3119 -0.5583 0.0730 0.1301 0.0655 -0.7698 -0.1517 0.1011 -0.1917 205 205 201 4 1.9671 236.83 0.000 0 31 1 309.6901 1.5240 0.0090 -0.002 23 11 0.057075 0 27 0 215 9.569e+05 267.1 3583.096 10.7362 0.0003 23 4.152e+05 498.1 833.587 11.3057 0.0013 22 7.95e+05 973.2 816.845 10.0110 0.0013 1.265 0 1.2947 0.5695 0.7252 "" "" 0 "" "" "" NOT_AVAILABLE 340.85166536576 -1.22604807798 257.78578196983 -22.61477745642 100001 4897.21 4699.87 5062.00 0.2198 0.0963 1.6266 0.1200 0.0590 0.9808 200111 14.98 14.02 16.26 116.236 102.816 129.656 253.85869417500 1.3237 -45.37198956500 1.0152
8 253.779779 -45.258993 1005.35 1981.7 11.184 0.023 1.104 0.031 1.032 0.023 1.382 0.03 2.5135 0.055820 0.002673 -0.055756 177.3 "Gaia DR2 5964026088716265088" 253.78014778607 0.0565 -45.25963088450 0.0420 1635721458409799680 5964026088716265088 1488293468 2015.5 1.1215 0.0614 18.2660 -2.449 0.086 1.379 0.066 -0.1019 -0.4773 -0.4687 -0.0611 0.0736 0.0181 -0.7493 -0.1404 0.1863 -0.1473 198 198 197 1 0.9343 210.19 0.000 0 31 1 304.2982 1.4861 0.0097 0.042 23 11 0.054062 0 27 0 215 9.321e+05 219.4 4247.618 10.7647 0.0003 25 3.726e+05 266.1 1400.494 11.4232 0.0008 24 7.975e+05 502.3 1587.672 10.0076 0.0007 1.255 0 1.4156 0.6585 0.7571 -11.95 0.29 7 5500.0 4.5 0.0 NOT_AVAILABLE 340.90445156915 -1.11249728054 257.71179729736 -22.50984367116 100001 4742.87 4570.90 4828.00 0.3997 0.3227 0.5411 0.1960 0.1540 0.2611 200111 8.70 8.40 9.37 34.523 32.049 36.996 253.78016276900 1.3273 -45.25963682160 1.0175
149 253.673648 -45.253773 1621.67 1938.42 14.435 0.023 0.849 0.037 0.55 0.033 1.183 0.028 2.8371 0.087085 -0.071668 -0.049473 235.4 "Gaia DR2 5964025534658461056" 253.67454604111 0.2677 -45.25330248451 0.2356 1635721458409799680 5964025534658461056 749986423 2015.5 "" "" "" "" "" "" "" -0.4892 "" "" "" "" "" "" "" "" "" 72 0 72 0 1.3567 83.19 0.191 0.19 3 0 0.8956 1.3698 0.0521 -0.318 8 5 0.6318 0 12 0 90 1224 3.871 316.327 17.9685 0.0034 9 662 93.91 7.050 18.2992 0.1540 9 2456 305 8.052 16.2864 0.1348 2.546 0 2.0128 0.3307 1.6821 "" "" 0 "" "" "" NOT_AVAILABLE 340.86261953079 -1.05071783568 257.63109063276 -22.51253049767 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 253.67454604100 0.2677 -45.25330248450 0.2356
10 253.742062 -45.105267 1224.38 707.026 11.34 0.008 2.103 0.011 1.646 0.014 2.608 0.012 0.9742 0.101352 -0.024367 0.098379 346.1 "Gaia DR2 5964121746242051840" 253.74182666200 0.0516 -45.10549095967 0.0409 1635721458409799680 5964121746242051840 101894425 2015.5 0.4373 0.0585 7.4764 -0.989 0.086 -1.646 0.067 0.1970 -0.2918 -0.4051 -0.2856 -0.1706 -0.1475 -0.6978 -0.1889 0.3467 -0.0444 216 216 209 7 15.9961 726.15 0.069 1.7 31 1 113.0263 1.3440 0.0121 0.135 25 12 0.053072 0 28 1 225 1.664e+06 1547 1075.571 10.1354 0.0010 24 3.24e+05 761 425.828 11.5749 0.0025 26 2.009e+06 2844 706.668 9.0043 0.0015 1.402 1 2.5706 1.4395 1.1312 "" "" 0 "" "" "" NOT_AVAILABLE 341.00738061121 -0.99460797809 257.66271841526 -22.36007459887 100002 3741.50 3551.28 4003.97 "" "" "" "" "" "" 200111 62.16 54.28 69.00 682.281 561.556 803.006 253.74183269500 1.3290 -45.10548387100 1.0416
