ID alpha delta x y v ev bv ebv ub eub vi evi d_arcsec
455 253.880287 -45.387296 421.676 3045.57 15.987 0.014 1.047 0.015 0.503 0.011 1.48 0.019 9.2780
565 253.865867 -45.386957 505.418 3042.76 16.302 0.006 1.206 0.008 0.747 0.016 1.697 0.015 12.1812
1538 253.947608 -45.387264 30.729 3045.31 17.78 0.014 1.281 0.016 0.782 0.053 1.848 0.022 9.9747
2155 253.61456 -45.387147 1964.81 3044.34 18.43 0.013 1.69 0.022 nan nan 2.248 0.025 9.5549
1042 253.821359 -45.386995 763.883 3043.08 17.234 0.009 1.753 0.012 1.365 0.071 2.231 0.018 12.9250
1738 253.810736 -45.317099 825.573 2463.51 18.02 0.01 1.417 0.014 0.853 0.065 1.751 0.02 8.0954
1891 253.673822 -45.374388 1620.66 2938.54 18.192 0.008 1.507 0.014 nan nan 1.86 0.023 7.5928
2005 253.6294 -45.308771 1878.63 2394.45 18.286 0.008 1.509 0.015 nan nan 2.159 0.021 10.0031
1658 253.655729 -45.363177 1725.73 2845.58 17.931 0.005 1.579 0.011 0.971 0.063 2.122 0.021 9.1808
742 253.608874 -45.380359 1997.83 2988.05 16.722 0.006 1.225 0.01 0.871 0.032 1.705 0.02 9.1818
2105 253.913939 -45.377205 226.254 2961.9 18.398 0.011 1.337 0.017 nan nan 1.977 0.025 7.6839
2125 253.927667 -45.100263 146.531 665.527 18.413 0.011 1.37 0.017 0.802 0.076 nan nan 7.0897
2193 253.775429 -45.347708 1030.61 2717.31 18.457 0.009 1.523 0.017 nan nan 2.039 0.022 7.5081
2387 253.819069 -45.385419 777.184 3030.01 18.604 0.01 1.497 0.019 nan nan 1.679 0.059 10.9370
2658 253.706079 -45.360332 1433.34 2821.99 18.914 0.011 1.585 0.022 nan nan 2.107 0.03 11.5579
1317 253.837717 -45.020467 668.893 3.873 17.558 0.012 1.029 0.014 0.493 0.02 nan nan 12.5206
2790 253.605905 -45.346769 2015.07 2709.53 19.242 0.018 1.715 0.038 nan nan 2.6 0.03 7.4049
