ID alpha delta x y v ev bv ebv ub eub vi evi d_arcsec _r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000
1 250.155616 -43.312008 554.611 566.587 10.696 0.002 1.961 0.002 2.367 0.004 2.362 0.004 0.9587 0.071377 0.049956 0.050981 44.4 "Gaia DR2 5967638018779528704" 250.15561506623 0.0488 -43.31175110579 0.0388 1635721458409799680 5967638018779528704 1453237324 2015.5 0.9067 0.0484 18.7145 -0.576 0.099 -2.184 0.065 0.0261 -0.0217 -0.5781 -0.0258 -0.2225 0.0783 -0.8200 -0.1754 0.3150 -0.2973 281 281 270 11 14.9475 778.19 0.000 0 31 0 239.3945 1.3458 0.0076 0.115 32 11 0.065503 0 38 1 312 2.87e+06 1504 1908.292 9.5436 0.0006 35 6.036e+05 813.8 741.678 10.8995 0.0015 34 3.393e+06 2925 1160.184 8.4353 0.0009 1.393 0 2.4642 1.3559 1.1083 25.15 0.38 7 4500.0 3.0 0.0 NOT_AVAILABLE 340.71730516586 2.12602309452 254.66608323284 -20.92311843207 100001 3702.61 3530.00 3963.23 "" "" "" "" "" "" 200111 40.76 35.57 44.84 281.288 260.463 302.113 250.15561847400 1.5357 -43.31174170420 1.0132
2 250.223742 -43.418372 106.326 1520.01 10.914 0.002 0.425 0.002 0.043 0.002 0.745 0.035 1.2334 0.114161 0.099469 -0.056023 119.4 "Gaia DR2 5967632315063470464" 250.22390206964 2.3698 -43.41869427403 1.4570 1635721458409799680 5967632315063470464 1217234390 2015.5 "" "" "" "" "" "" "" 0.3351 "" "" "" "" "" "" "" "" "" 104 0 104 0 4.1872 169.42 3.310 4.9 3 0 0.0328 "" "" 0.102 12 6 6.0833 0 13 0 104 144.8 1.215 119.162 20.2867 0.0091 0 "" "" "" "" "" 0 "" "" "" "" "" "" 2 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 340.66995571810 2.01803080734 254.73522756130 -21.02177390806 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 250.22390207000 2.3698 -43.41869427400 1.4570
3 250.099321 -43.386694 925.046 1236.05 10.932 0.003 0.691 0.003 0.356 0.002 1.016 0.006 1.0947 0.025712 0.009290 -0.023975 158.8 "Gaia DR2 5967635884159104512" 250.09974240011 0.0415 -43.38672703592 0.0341 1635721458409799680 5967635884159104512 1590130268 2015.5 0.6223 0.0392 15.8945 1.013 0.083 0.791 0.056 0.0003 -0.0283 -0.6082 -0.0073 -0.1601 0.0445 -0.7956 -0.2053 0.2928 -0.2887 282 282 270 12 2.5892 328.42 0.000 0 31 1 312.8870 1.5390 0.0076 0.085 32 12 0.058758 0 33 0 269 1.068e+06 222.9 4794.883 10.6164 0.0002 31 5.01e+05 329.5 1520.817 11.1017 0.0007 31 8.24e+05 370.6 2223.206 9.9722 0.0005 1.240 1 1.1296 0.4853 0.6443 "" "" 0 "" "" "" NOT_AVAILABLE 340.63416630732 2.10680030966 254.63465816496 -21.00318731332 100002 5068.54 4891.07 5594.31 "" "" "" "" "" "" 200111 14.12 11.59 15.17 118.627 107.647 129.608 250.09973639600 1.2886 -43.38673044100 0.8722
4 250.148448 -43.333184 601.777 756.404 11.126 0.004 0.649 0.004 0.368 0.002 0.947 0.006 0.9712 0.053873 0.044915 0.029749 56.5 "Gaia DR2 5967637881340551936" 250.14870787339 0.0402 -43.33298707301 0.0349 1635721458409799680 5967637881340551936 270472760 2015.5 0.6090 0.0399 15.2826 1.313 0.087 -0.220 0.060 -0.1542 -0.0162 -0.5354 0.1056 -0.2459 0.1656 -0.7854 -0.1238 0.2721 -0.4277 283 283 265 18 4.9777 389.95 0.000 0 31 0 344.0412 1.5618 0.0070 0.038 32 12 0.062538 0 37 0 285 8.737e+05 467.4 1869.168 10.8349 0.0006 33 4.218e+05 358.8 1175.598 11.2887 0.0009 34 6.539e+05 471 1388.292 10.2231 0.0008 1.231 0 1.0656 0.4538 0.6118 "" "" 0 "" "" "" NOT_AVAILABLE 340.69805080037 2.11572774347 254.66404734521 -20.94485782903 100001 5050.77 4990.49 5407.98 "" "" "" "" "" "" 200111 13.17 11.48 13.49 101.638 91.904 111.371 250.14870009900 1.3553 -43.33298612710 0.9382
5 250.107667 -43.359575 870.127 992.967 11.206 0.004 1.563 0.004 1.367 0.003 1.766 0.007 0.4519 0.015508 0.015185 0.003149 78.3 "Gaia DR2 5967636300792582528" 250.10784475843 0.0331 -43.35960128267 0.0263 1635721458409799680 5967636300792582528 643665357 2015.5 0.6274 0.0357 17.5532 1.453 0.067 -0.280 0.045 -0.0687 -0.2331 -0.3954 -0.0551 -0.1144 0.0293 -0.6935 -0.0616 0.2743 -0.3091 329 329 323 6 6.6379 515.57 0.000 0 31 0 295.9983 1.4061 0.0063 0.084 37 12 0.046923 0 39 0 329 1.214e+06 359.8 3372.682 10.4783 0.0003 38 3.607e+05 258.6 1395.061 11.4584 0.0008 37 1.244e+06 543.7 2288.440 9.5247 0.0005 1.323 1 1.9337 0.9801 0.9536 -7.92 1.26 3 5000.0 3.0 0.0 NOT_AVAILABLE 340.65840175835 2.12036258854 254.63668714751 -20.97549426353 100002 4015.52 3927.48 4233.67 0.7115 0.3546 1.2003 0.3953 0.1679 0.5588 200111 29.33 26.39 30.66 201.520 184.147 218.892 250.10783615600 1.0330 -43.35960007540 0.6925
6 250.047495 -43.399898 1266.07 1354.41 11.222 0.007 1.71 0.006 1.651 0.005 1.907 0.007 1.1668 0.047148 -0.028613 -0.037473 217.4 "Gaia DR2 5967635991554928256" 250.04757779668 0.0403 -43.40021894704 0.0325 1635721458409799680 5967635991554928256 673231945 2015.5 0.5786 0.0439 13.1912 1.502 0.079 -0.307 0.053 -0.0179 -0.1502 -0.3456 -0.1524 -0.1772 -0.1020 -0.6827 -0.1784 0.3326 -0.2242 276 276 268 8 10.2062 572.27 0.000 0 31 0 331.0981 1.4102 0.0079 0.071 31 12 0.051398 0 33 0 264 1.284e+06 485.9 2642.081 10.4172 0.0004 31 3.499e+05 215.3 1625.068 11.4916 0.0007 32 1.369e+06 844.8 1620.540 9.4208 0.0007 1.339 1 2.0708 1.0743 0.9964 -7.78 0.54 7 5000.0 3.0 0.0 NOT_AVAILABLE 340.59891364060 2.12623758861 254.59658177766 -21.02204099723 100002 3940.08 3880.76 4052.02 0.8747 0.5070 1.2225 0.4110 0.2403 0.6346 200111 34.78 32.89 35.85 262.698 234.350 291.046 250.04756889900 1.2238 -43.40021762640 0.8245
7 250.10173 -43.413561 909.193 1476.88 11.312 0.001 0.743 0.002 0.112 0.002 0.939 0.003 2.0236 0.052083 0.011285 -0.050846 167.5 "Gaia DR2 5967635854115923456" 250.10249468860 0.0552 -43.41359725094 0.0462 1635721458409799680 5967635854115923456 1325021113 2015.5 4.6309 0.0633 73.1517 -0.582 0.103 -24.188 0.074 -0.0544 -0.1981 -0.4315 -0.0893 -0.1189 -0.0145 -0.7412 -0.2613 0.3839 -0.2694 291 291 279 12 22.3449 1198.77 0.125 6.6 31 0 46.9855 1.5625 0.0117 0.087 33 12 0.063486 0 36 0 276 7.142e+05 359.9 1984.342 11.0538 0.0005 33 3.501e+05 366.3 955.790 11.4909 0.0011 32 5.197e+05 377.7 1375.858 10.4725 0.0008 1.218 1 1.0184 0.4372 0.5812 "" "" 0 "" "" "" NOT_AVAILABLE 340.61535445359 2.08749757762 254.64095261961 -21.02948338014 100002 5127.32 5067.39 5290.00 0.8415 0.6090 1.1031 0.4165 0.2787 0.5620 200111 1.51 1.42 1.54 1.416 1.391 1.441 250.10249813700 1.5996 -43.41349310810 1.1402
8 250.114774 -43.363288 823.36 1026.25 11.314 0.001 0.491 0.002 0.054 0.002 0.748 0.002 0.7579 0.020444 0.020437 -0.000510 91.4 "Gaia DR2 5967636403871788160" 250.11507039717 0.0461 -43.36325965400 0.0446 1635721458409799680 5967636403871788160 1087550142 2015.5 0.6120 0.0488 12.5528 1.613 0.096 -0.122 0.075 -0.2970 -0.0257 -0.5851 0.2362 -0.3148 0.3322 -0.8477 -0.2978 0.4279 -0.4813 258 258 241 17 10.2893 536.39 0.000 0 31 0 369.0790 1.5894 0.0086 0.025 30 12 0.070167 0 37 0 264 6.784e+05 434.6 1560.939 11.1096 0.0007 24 3.679e+05 572.4 642.723 11.4371 0.0017 24 4.565e+05 413.2 1104.791 10.6133 0.0010 1.215 0 0.8238 0.3275 0.4963 "" "" 0 "" "" "" NOT_AVAILABLE 340.65914241808 2.11400388692 254.64282175664 -20.97835267536 100001 5801.67 5744.00 6037.25 1.8867 1.6180 2.0748 0.9465 0.8140 1.0430 200111 8.37 7.73 8.53 71.435 63.564 79.307 250.11506084700 1.4850 -43.36325912690 1.1630
9 250.146818 -43.456492 612.501 1861.71 11.332 0.002 1.691 0.006 1.364 0.008 2.043 0.022 1.6373 0.103677 0.043867 -0.093940 155.0 "Gaia DR2 5967634857674738048" 250.14739074478 4.6922 -43.45667638701 2.5425 1635721458409799680 5967634857674738048 339992005 2015.5 "" "" "" "" "" "" "" -0.9171 "" "" "" "" "" "" "" "" "" 89 0 80 9 6.3828 182.27 1.664 7.9 3 0 0.1962 "" "" 0.058 9 5 12.666 0 12 0 89 790.3 8.807 89.736 18.4439 0.0121 0 "" "" "" "" "" 0 "" "" "" "" "" "" 1 "" "" "" "" "" 0 "" "" "" NOT_AVAILABLE 340.60467165708 2.03453825922 254.68220459735 -21.06738391222 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 250.14739074500 4.6922 -43.45667638700 2.5425
10 250.092784 -43.374709 968.062 1128.62 11.391 0.002 0.478 0.002 0.029 0.002 0.724 0.002 0.6465 0.012826 0.004391 -0.012051 160.0 "Gaia DR2 5967636472591693824" 250.09299963498 0.0465 -43.37480389148 0.0394 1635721458409799680 5967636472591693824 660476073 2015.5 0.5559 0.0436 12.7610 0.863 0.100 -0.214 0.068 -0.1788 -0.0637 -0.6072 0.1616 -0.1573 0.2206 -0.8085 -0.1367 0.2511 -0.4331 288 288 262 26 13.5897 703.31 0.079 2.6 31 0 103.0901 1.6142 0.0082 0.049 33 11 0.070515 0 37 0 291 6.307e+05 542.5 1162.631 11.1887 0.0009 33 3.444e+05 417.3 825.350 11.5086 0.0013 31 4.160e+05 318.7 1305.594 10.7141 0.0008 1.206 0 0.7945 0.3199 0.4747 "" "" 0 "" "" "" NOT_AVAILABLE 340.63985205559 2.11837157616 254.62761195163 -20.99210111286 100001 5903.75 5816.00 6306.67 "" "" "" "" "" "" 200111 8.55 7.49 8.81 80.064 71.115 89.013 250.09299452400 1.5520 -43.37480296870 1.0501
