# Removed extra columns, and rows at the end of the file
# Replaced '0' with INDEF
# Replaced INDEF with nan
# Removed extra columns, and rows at the end of the file
# Replaced '0' with INDEF
# Replaced INDEF with nan
ID alpha delta x y v ev bv ebv ub eub vi evi d_arcsec _r _x _y _p DR2Name RA_ICRS e_RA_ICRS DE_ICRS e_DE_ICRS SolID Source RandomI Epoch Plx e_Plx RPlx pmRA e_pmRA pmDE e_pmDE RADEcor RAPlxcor RApmRAcor RApmDEcor DEPlxcor DEpmRAcor DEpmDEcor PlxpmRAcor PlxpmDEcor pmRApmDEcor NAL NAC NgAL NbAL gofAL chi2AL epsi sepsi Solved APF WAL pscol e_pscol fvarpi MatchObsA Nper amax type MatchObs Dup o_Gmag FG e_FG RFG Gmag e_Gmag o_BPmag FBP e_FBP RFBP BPmag e_BPmag o_RPmag FRP e_FRP RFRP RPmag e_RPmag E_BR_RP_ Mode BP-RP BP-G G-RP RV e_RV o_RV Tefftemp loggtemp __Fe_H_temp Var GLON GLAT ELON ELAT fPriam Teff b_Teff B_Teff AG b_AG B_AG E_BP-RP_ b_E_BP-RP_ B_E_BP-RP_ fFLAME Rad b_Rad B_Rad Lum b_Lum B_Lum RAJ2000 e_RAJ2000 DEJ2000 e_DEJ2000
1 16.92714 -39.505105 966.948 2055.41 7.727 0.054 1.465 0.064 1.732 0.036 -0.814 0.069 1.3417 0.064422 0.007441 -0.063991 173.4 "Gaia DR2 5970176928558756864" 253.90755878105 0.0545 -39.5049810207 0.0435 1635721458409799680 5970176928558756864 1390424660 2015.5 0.7779 0.0565 13.7662 0.916 0.1 -0.919 0.072 -0.0871 -0.1924 -0.5559 0.0299 -0.0896 0.0897 -0.7987 -0.1451 0.237 -0.1672 185 185 184 1 5.1755 294.94 0.0 0.0 31 1 215.4864 1.4257 0.0097 0.052 21 11 0.06352 0 26 0 212 43690000.0 36380.0 1200.982 6.5875 0.0009 23 13070000.0 39460.0 331.218 7.5606 0.0033 23 44270000.0 127300.0 347.827 5.6467 0.0031 1.312 0 1.9138 0.9731 0.9407 -7.03 0.33 13 3800.0 4.5 0.0 NOT_AVAILABLE 345.44427911581 2.42643736893 257.09202810999 -16.78406620041 100001 3950.97 3860.68 4007.0 0.823 0.4099 1.729 0.4295 0.1969 0.8676 200111 149.55 145.39 156.62 4909.867 4434.257 5385.477 253.907553668 1.5444 -39.5049770636 1.12
2 16.923669 -39.483816 1304.02 1879.47 9.162 0.023 0.271 0.029 -0.392 0.021 nan nan 1.2894 0.054402 -0.033441 -0.04291 217.9 "Gaia DR2 5969802471824624896" 253.85458595051 0.0513 -39.48389229327 0.0395 1635721458409799680 5969802471824624896 1115679570 2015.5 0.8879 0.0567 15.6578 0.937 0.093 -0.716 0.065 -0.1666 -0.3337 -0.4398 0.0298 0.0431 0.0568 -0.7245 -0.0536 0.1209 -0.2115 204 204 199 5 9.5597 448.64 0.0 0.0 31 0 257.0051 1.6938 0.0098 0.008 23 11 0.058029 0 25 0 217 4615000.0 1528.0 3021.02 9.0279 0.0004 25 2928000.0 3269.0 895.744 9.185 0.0012 25 2497000.0 3180.0 785.118 8.7686 0.0014 1.175 0 0.4164 0.1571 0.2593 "" "" 0 "" "" "" NOT_AVAILABLE 345.43508689869 2.4715088248 257.04707698639 -16.76783332893 100001 7360.27 7087.15 7550.5 1.246 1.095 1.3501 0.632 0.5444 0.6813 200111 9.32 8.85 10.05 229.555 210.021 249.088 253.854580721 1.438 -39.4838892113 1.0083
3 16.927035 -39.570384 977.141 2594.91 9.308 0.054 0.371 0.07 0.3 0.049 0.709 0.058 2.4592 0.129443 0.006484 -0.12928 177.1 "Gaia DR2 5969798318617395328" 253.90632577576 1.0937 -39.57027046363 0.7003 1635721458409799680 5969798318617395328 1635841201 2015.5 3.4592 1.1174 3.0957 -9.925 1.322 -14.551 1.222 0.0534 -0.7108 -0.5236 -0.1007 0.1202 -0.1267 -0.6142 0.107 0.0045 0.1452 172 172 152 20 244.1813 169804.05 3.488 3600.0 31 0 0.0693 1.77 0.2337 -0.104 19 10 0.81753 0 22 1 178 3725000.0 922.7 4037.424 9.2605 0.0003 21 2230000.0 2631.0 847.624 9.4805 0.0013 22 2168000.0 2320.0 934.694 8.9215 0.0012 1.181 0 0.559 0.22 0.339 "" "" 0 "" "" "" NOT_AVAILABLE 345.39274839181 2.38627667534 257.09889794069 -16.84903058416 100001 6746.56 6652.0 7132.71 1.1945 0.824 1.382 0.607 0.4566 0.692 "" "" "" "" "" "" "" 253.906381211 20.5254 -39.570207812 18.9504
4 16.918088 -39.582213 1845.78 2692.67 9.686 0.053 0.327 0.061 -0.298 0.031 0.39 0.061 3.7120 0.172497 -0.098559 -0.141568 214.8 "Gaia DR2 5969800272800563968" 253.77003392449 0.0543 -39.58248801824 0.0441 1635721458409799680 5969800272800563968 795540234 2015.5 0.7105 0.0537 13.239 0.866 0.105 -0.974 0.072 -0.2907 -0.282 -0.5815 0.2265 0.0286 0.2703 -0.826 0.0197 0.0931 -0.354 210 210 204 6 10.955 506.08 0.0 0.0 31 1 271.1186 1.6799 0.0096 0.022 24 11 0.070234 0 26 0 215 2569000.0 705.5 3641.123 9.664 0.0003 26 1606000.0 1383.0 1161.63 9.8369 0.0009 24 1423000.0 1602.0 888.279 9.3789 0.0012 1.179 0 0.4581 0.1729 0.2851 "" "" 0 "" "" "" NOT_AVAILABLE 345.3172868437 2.4604427505 256.99134265461 -16.87331993523 100001 7395.5 7202.0 7567.0 "" "" "" "" "" "" 200111 8.61 8.22 9.08 199.824 179.448 220.2 253.770029087 1.622 -39.5824838237 1.1138
5 16.924717 -39.430232 1202.2 1436.63 9.71 0.007 0.41 0.009 nan nan 0.451 0.01 1.4585 0.02392 -0.021378 0.01073 296.7 "Gaia DR2 5970178131149719680" 253.87023724836 0.0536 -39.43025699455 0.0396 1635721458409799680 5970178131149719680 221461386 2015.5 0.6972 0.06 11.6145 1.087 0.09 -0.91 0.067 -0.1588 -0.4453 -0.4831 0.0582 -0.0052 0.1606 -0.76 -0.0292 0.1609 -0.2498 216 216 207 9 10.639 498.96 0.0 0.0 31 1 280.5512 1.7138 0.0092 0.004 25 11 0.057474 0 28 1 229 2344000.0 1152.0 2034.015 9.7634 0.0005 27 1510000.0 1924.0 784.876 9.9039 0.0014 26 1272000.0 1788.0 711.059 9.5011 0.0015 1.187 0 0.4028 0.1405 0.2623 "" "" 0 "" "" "" NOT_AVAILABLE 345.48449839633 2.49571349569 257.05314538665 -16.71316151465 100001 8002.2 7703.0 8318.0 1.1 0.911 1.351 0.5372 0.456 0.6805 "" "" "" "" "" "" "" 253.870231192 1.3905 -39.4302530786 1.0334
6 16.92528 -39.466386 1147.54 1735.42 9.828 0.043 -0.682 0.064 -0.805 0.052 1.647 0.058 0.4840 0.029298 -0.014577 -0.025415 209.8 "Gaia DR2 5970177821898087808" 253.87903267309 0.0616 -39.46640346498 0.0466 1635721458409799680 5970177821898087808 662074108 2015.5 0.7856 0.0714 11.003 0.97 0.117 -0.102 0.079 -0.0641 -0.2992 -0.3202 -0.1002 0.0288 -0.091 -0.6325 -0.101 0.1586 -0.0701 199 199 191 8 17.0094 743.07 0.114 3.8 31 0 44.8281 1.7249 0.0124 0.02 25 11 0.066606 0 27 0 229 7467000.0 38000.0 196.468 8.5055 0.0055 26 4779000.0 75240.0 63.518 8.653 0.0171 25 4059000.0 61080.0 66.456 8.2409 0.0163 1.184 0 0.4121 0.1475 0.2647 "" "" 0 "" "" "" NOT_AVAILABLE 345.46056550138 2.46776736021 257.06454431279 -16.74828313788 100001 7957.33 7568.25 8095.5 1.096 0.7639 1.2704 0.551 0.3853 0.6339 200111 11.7 11.3 12.93 494.079 437.038 551.12 253.879027262 1.8078 -39.4664030263 1.2247
7 16.926498 -39.413866 1029.36 1301.37 9.851 0.006 0.21 0.009 -0.326 0.012 0.337 0.009 0.6795 0.027202 -0.000513 0.027197 358.9 "Gaia DR2 5970178543466579584" 253.89725052538 0.0504 -39.4137934929 0.0386 1635721458409799680 5970178543466579584 10054903 2015.5 0.8958 0.0578 15.4879 0.769 0.085 -0.755 0.063 -0.2308 -0.4456 -0.4545 0.0922 0.0266 0.189 -0.7531 -0.0553 0.1902 -0.2524 231 231 222 9 11.727 563.2 0.0 0.0 31 1 277.5879 1.7055 0.0094 -0.008 27 11 0.054909 0 30 0 248 2373000.0 996.1 2382.412 9.7501 0.0005 29 1560000.0 1092.0 1428.798 9.8685 0.0008 30 1231000.0 1488.0 827.239 9.5364 0.0013 1.176 1 0.3321 0.1184 0.2137 "" "" 0 "" "" "" NOT_AVAILABLE 345.51042936272 2.48976746704 257.07280536462 -16.69440213032 100002 8123.33 7811.0 8258.5 0.862 0.8067 1.0346 0.4365 0.4089 0.5221 "" "" "" "" "" "" "" 253.897246238 1.3173 -39.413790243 0.977
8 16.924224 -39.487817 1250.09 1912.54 9.862 0.004 0.269 0.011 -0.248 0.013 0.32 0.052 0.8989 0.054075 -0.026902 -0.046908 209.8 "Gaia DR2 5970177718832791680" 253.86305623509 0.0548 -39.4878929132 0.0481 1635721458409799680 5970177718832791680 1391069008 2015.5 0.6967 0.0612 11.3882 1.097 0.108 -0.961 0.081 -0.3706 -0.1941 -0.4111 0.2476 -0.1807 0.2524 -0.782 -0.1376 0.265 -0.3224 167 167 162 5 7.5518 331.34 0.0 0.0 31 1 312.0249 1.662 0.0118 -0.052 19 11 0.069706 0 23 0 181 2166000.0 1738.0 1246.379 9.8492 0.0009 20 1334000.0 2584.0 516.268 10.0387 0.0021 19 1248000.0 4321.0 288.925 9.5209 0.0038 1.192 0 0.5177 0.1895 0.3282 "" "" 0 "" "" "" NOT_AVAILABLE 345.43606887225 2.46390767094 257.0543414307 -16.77105215848 100001 7279.4 7128.0 7470.75 1.1473 0.824 1.4501 0.555 0.3807 0.7093 200111 8.31 7.89 8.66 174.489 154.421 194.557 253.863050113 1.6738 -39.4878887764 1.2592
9 16.924093 -39.501908 1262.85 2028.99 9.948 0.007 0.231 0.01 -0.356 0.011 0.44 0.013 0.9500 0.067322 -0.028417 -0.061031 205.0 "Gaia DR2 5969802407425987584" 253.86108610115 0.0589 -39.5020150885 0.0451 1635721458409799680 5969802407425987584 802206648 2015.5 0.6645 0.0593 11.1965 0.926 0.106 -0.608 0.075 -0.4254 -0.4779 -0.5492 0.3047 0.1527 0.3447 -0.7805 0.1704 -0.0174 -0.4262 194 194 187 7 11.5927 503.55 0.0 0.0 31 0 292.5912 1.6981 0.0103 -0.058 22 10 0.072304 0 27 0 195 2200000.0 926.3 2374.791 9.8325 0.0005 21 1417000.0 1961.0 722.551 9.9728 0.0015 21 1171000.0 2237.0 523.567 9.5905 0.0021 1.177 0 0.3823 0.1403 0.2419 "" "" 0 "" "" "" NOT_AVAILABLE 345.42410169831 2.45623969895 257.05446745585 -16.78525541977 100001 7942.0 7574.0 8370.33 1.13 0.8947 1.39 0.55 0.456 0.701 200111 7.53 6.78 8.28 203.144 179.22 227.067 253.861080933 1.6513 -39.5020124712 1.1639
10 16.926421 -39.477951 1036.8 1831.0 10.068 0.008 0.265 0.009 -0.312 0.01 0.481 0.011 0.3861 0.036943 -0.00113 -0.036926 181.8 "Gaia DR2 5970176997278275200" 253.89645076283 0.0574 -39.47791634632 0.041 1635721458409799680 5970176997278275200 1465946446 2015.5 0.7155 0.0604 11.8477 1.122 0.097 -0.974 0.069 -0.0192 -0.4082 -0.4621 -0.0531 -0.0337 0.0387 -0.7626 -0.0629 0.2025 -0.0597 213 213 203 10 13.8288 618.94 0.067 1.6 31 0 121.6436 1.6884 0.0098 0.076 25 11 0.059931 0 28 0 226 1993000.0 1381.0 1442.75 9.9398 0.0008 23 1253000.0 1371.0 914.063 10.1066 0.0012 24 1086000.0 1491.0 728.723 9.6721 0.0015 1.174 0 0.4344 0.1667 0.2677 "" "" 0 "" "" "" NOT_AVAILABLE 345.46001782527 2.45007466641 257.07987837938 -16.75816919035 100001 7255.81 7142.28 7490.0 "" "" "" "" "" "" 200111 7.8 7.32 8.05 152.084 135.223 168.944 253.896444506 1.5118 -39.4779121525 1.0649
